name,developer,status,status_group,category,capacity_mw,capacity_label,landscape_weight,location,latitude,longitude,precision,nearest_nuclear_name,nearest_nuclear_state,nearest_nuclear_distance_mi,nearest_nuclear_capacity_mw,source,source_url,notes
Google Fort Wayne - Building 1,,Operating,Operating,Publicly tracked data-center facility,,,4.0,"Allen, IN",41.03089,-85.04277,Public tracker coordinates,Donald C Cook,MI,102.3,2285.3,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
Equinix DA12,,Planned,Planned,Publicly tracked data-center facility,,,4.0,"Dallas, TX",32.821037,-96.85867,Public tracker coordinates,Comanche Peak,TX,64.9,2430.0,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
Data Center THM1A,,Planned,Planned,Publicly tracked data-center facility,,,4.0,"Jones, TX",32.98045,-99.5673,Public tracker coordinates,Comanche Peak,TX,113.9,2430.0,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
Belmont Innovation Campus,,Planned,Planned,Publicly tracked data-center facility,,,4.0,"Loudoun, VA",39.0725,-77.5101,Public tracker coordinates,North Anna,VA,71.6,1959.4,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
Keystone Trade Center,,Planned,Planned,Publicly tracked data-center facility,,,4.0,"Bucks, PA",40.15661551,-74.74484236,Public tracker coordinates,Limerick,PA,44.7,2277.0,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
QTS Augusta,,Planned,Planned,Publicly tracked data-center facility,,,4.0,"Richmond, GA",33.437721,-82.155056,Public tracker coordinates,Vogtle,GA,30.5,4658.0,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
Anthropic New York Data Center,,Planned,Planned,Publicly tracked data-center facility,,,4.0,NY,43.3587,-78.6041,Public tracker coordinates,R E Ginna Nuclear Power Plant,NY,65.3,614.0,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
CloudHQ LC5,,Planned,Planned,Publicly tracked data-center facility,,,4.0,"Loudoun, VA",39.009745,-77.476825,Public tracker coordinates,North Anna,VA,67.8,1959.4,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
Project Skyway - Phase 1,,Planned,Planned,Publicly tracked data-center facility,,,4.0,"Goodhue, MN",44.227,-92.65,Public tracker coordinates,Prairie Island,MN,27.3,1186.2,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
Microsoft Gaines Township Data Center,,Planned,Planned,Publicly tracked data-center facility,,,4.0,"Kent, MI",42.8262104,-85.5456318,Public tracker coordinates,Palisades,MI,52.3,811.8,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
Microsoft SN1,,Operating,Operating,Publicly tracked data-center facility,,,4.0,"Bexar, TX",29.480506,-98.692193,Public tracker coordinates,South Texas Project,TX,166.4,2708.6,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
Microsoft SN2,,Operating,Operating,Publicly tracked data-center facility,,,4.0,"Bexar, TX",29.479433,-98.693047,Public tracker coordinates,South Texas Project,TX,166.5,2708.6,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
Hermantown Data Center,,Planned,Planned,Publicly tracked data-center facility,,,4.0,"St. Louis, MN",46.835,-92.258,Public tracker coordinates,Monticello Nuclear Facility,MN,128.7,685.0,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
Sentinel Twin Creeks,,Planned,Planned,Publicly tracked data-center facility,,,4.0,"Loudoun, VA",39.07398,-77.5174,Public tracker coordinates,North Anna,VA,71.6,1959.4,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
TELOS Data Center,,Planned,Planned,Publicly tracked data-center facility,,,4.0,"Loudoun, VA",39.067024,-77.47857,Public tracker coordinates,Calvert Cliffs Nuclear Power Plant,MD,70.9,1850.4,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
NTT Ashburn VA6,,Operating,Operating,Publicly tracked data-center facility,,,4.0,"Loudoun, VA",39.0169133,-77.4734442,Public tracker coordinates,North Anna,VA,68.3,1959.4,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
Downtown Cleveland Data Center: CLE1,,Operating,Operating,Publicly tracked data-center facility,,,4.0,"Cuyahoga, OH",41.50129635,-81.68336327,Public tracker coordinates,Perry,OH,34.7,1311.6,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
Memphis Data Center MEM1,,Operating,Operating,Publicly tracked data-center facility,,,4.0,"Shelby, TN",35.2031302,-89.80843383,Public tracker coordinates,Browns Ferry,AL,156.2,3854.0,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
Austin Data Center: AUS1,,Operating,Operating,Publicly tracked data-center facility,,,4.0,"Travis, TX",30.4360466,-97.76607827,Public tracker coordinates,Comanche Peak,TX,128.7,2430.0,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
EdgeConneX SDG01,,Operating,Operating,Publicly tracked data-center facility,,,4.0,"San Diego, CA",32.84140496,-117.1697046,Public tracker coordinates,Palo Verde,AZ,252.1,4209.6,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
Atlantic Crossing,,Planned,Planned,Publicly tracked data-center facility,,,4.0,"Henrico, VA",37.50428628,-77.26042683,Public tracker coordinates,Surry,VA,38.7,1695.0,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
Paragon Park Lot 3B,,Planned,Planned,Publicly tracked data-center facility,,,4.0,"Loudoun, VA",39.01517048,-77.43475172,Public tracker coordinates,Calvert Cliffs Nuclear Power Plant,MD,66.9,1850.4,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
22660 Executive Dr Prologis,,Planned,Planned,Publicly tracked data-center facility,,,4.0,"Loudoun, VA",38.98975252,-77.44206104,Public tracker coordinates,Calvert Cliffs Nuclear Power Plant,MD,66.2,1850.4,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
Dulles 28 Motorplex,,Planned,Planned,Publicly tracked data-center facility,,,4.0,"Loudoun, VA",39.01573733,-77.44269106,Public tracker coordinates,Calvert Cliffs Nuclear Power Plant,MD,67.3,1850.4,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
Kestrel - Building 2,,Planned,Planned,Publicly tracked data-center facility,,,4.0,"Platte, MO",39.35403,-94.6967,Public tracker coordinates,Cooper Nuclear Station,NE,85.8,801.0,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
Kestrel - Building 3,,Planned,Planned,Publicly tracked data-center facility,,,4.0,"Platte, MO",39.35403,-94.6958,Public tracker coordinates,Cooper Nuclear Station,NE,85.8,801.0,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
Kestrel - Building 4,,Planned,Planned,Publicly tracked data-center facility,,,4.0,"Platte, MO",39.35333,-94.6976,Public tracker coordinates,Cooper Nuclear Station,NE,85.8,801.0,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
Kestrel - Building 5,,Planned,Planned,Publicly tracked data-center facility,,,4.0,"Platte, MO",39.35333,-94.6967,Public tracker coordinates,Cooper Nuclear Station,NE,85.9,801.0,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
Kestrel - Building 6,,Planned,Planned,Publicly tracked data-center facility,,,4.0,"Platte, MO",39.35333,-94.6958,Public tracker coordinates,Cooper Nuclear Station,NE,85.9,801.0,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
